Dataset,Test,Train, Params
Adiac,0.353,0.628,"{'stride': 15, 'k': 10, 'weight_decay': 0.0, 'nb_filter': 5, 'kernel_size': 30}"
ECG200,0.76,0.95,"{'stride': 20, 'k': 5, 'weight_decay': 0.001, 'nb_filter': 15, 'kernel_size': 30}"
CricketX,0.272,0.485,"{'stride': 1, 'k': 10, 'weight_decay': 0.0, 'nb_filter': 5, 'kernel_size': 10}"
SwedishLeaf,0.658,0.738,"{'stride': 1, 'k': 10, 'weight_decay': 0.0001, 'nb_filter': 5, 'kernel_size': 20}"
Trace,0.99,1.0,"{'stride': 1, 'k': 5, 'weight_decay': 0.001, 'nb_filter': 10, 'kernel_size': 20}"
Coffee,0.857,1.0,"{'stride': 20, 'k': 5, 'weight_decay': 0.001, 'nb_filter': 5, 'kernel_size': 20}"
Adiac,0.606,0.9,"{'stride': 15, 'k': 10, 'weight_decay': 0.0, 'nb_filters': 15, 'kernel_size': 35}"
ECG200,0.85,1.0,"{'stride': 15, 'k': 10, 'weight_decay': 0.01, 'nb_filters': 10, 'kernel_size': 35}"
Adiac,0.701,0.862,"{'stride': 1, 'k': 5, 'weight_decay': 0.0, 'nb_filters': 20, 'kernel_size': 30}"
ECG200,0.82,1.0,"{'stride': 15, 'k': 5, 'weight_decay': 0.001, 'nb_filters': 20, 'kernel_size': 20}"
CricketX,0.638,0.928,"{'stride': 1, 'k': 7, 'weight_decay': 0.001, 'nb_filters': 20, 'kernel_size': 30}"
SwedishLeaf,0.907,0.998,"{'stride': 1, 'k': 10, 'weight_decay': 0.0, 'nb_filters': 20, 'kernel_size': 10}"
syntheticcontrol,0.987,1.0,"{'stride': 1, 'k': 5, 'weight_decay': 1e-05, 'nb_filters': 5, 'kernel_size': 30}"
Coffee,1.0,1.0,"{'stride': 1, 'k': 5, 'weight_decay': 1e-05, 'nb_filters': 10, 'kernel_size': 10}"
Beef,0.7,0.933,"{'stride': 15, 'k': 10, 'weight_decay': 1e-05, 'nb_filters': 5, 'kernel_size': 20}"
FaceFour,0.716,1.0,"{'stride': 1, 'k': 10, 'weight_decay': 0.0, 'nb_filters': 5, 'kernel_size': 30}"
MedicalImages,0.695,0.974,"{'stride': 1, 'k': 7, 'weight_decay': 0.0001, 'nb_filters': 20, 'kernel_size': 20}"
ArrowHead,0.669,1.0,"{'stride': 15, 'k': 5, 'weight_decay': 0.0, 'nb_filters': 10, 'kernel_size': 20}"
BeetleFly,0.75,1.0,"{'stride': 20, 'k': 5, 'weight_decay': 0.001, 'nb_filters': 20, 'kernel_size': 30}"
BirdChicken,0.75,1.0,"{'stride': 15, 'k': 10, 'weight_decay': 0.0, 'nb_filters': 5, 'kernel_size': 30}"
Car,0.733,0.983,"{'stride': 15, 'k': 10, 'weight_decay': 0.0001, 'nb_filters': 20, 'kernel_size': 30}"
CBF,0.916,1.0,"{'stride': 1, 'k': 5, 'weight_decay': 0.001, 'nb_filters': 5, 'kernel_size': 30}"
ChlorineConcentration,0.712,0.989,"{'stride': 20, 'k': 10, 'weight_decay': 1e-05, 'nb_filters': 10, 'kernel_size': 30}"
CinCECGtorso,0.51,0.875,"{'stride': 1, 'k': 5, 'weight_decay': 0.001, 'nb_filters': 15, 'kernel_size': 10}"
Computers,0.656,0.996,"{'stride': 15, 'k': 7, 'weight_decay': 0.0001, 'nb_filters': 20, 'kernel_size': 10}"
