Dataset,Test,Train, Params
Adiac,0.069,0.108,"{'kernel_sizes': [35, 8], 'strides': [1, 1], 'k': 26, 'weight_decay': 0.01, 'nbConvLayers': 2}"
ArrowHead,0.52,0.667,"{'kernel_sizes': [12, 12], 'strides': [1, 1], 'k': 37, 'weight_decay': 0.01, 'nbConvLayers': 2}"
Beef,0.467,0.767,"{'kernel_sizes': [94, 23], 'strides': [9, 9], 'k': 70, 'weight_decay': 0.01, 'nbConvLayers': 2}"
Car,0.633,0.8,"{'kernel_sizes': [115, 28], 'strides': [5, 5], 'k': 28, 'weight_decay': 0.01, 'nbConvLayers': 2}"
CBF,0.632,0.733,"{'kernel_sizes': [6, 6], 'strides': [2, 1], 'k': 19, 'weight_decay': 0.01, 'nbConvLayers': 2}"
ChlorineConcentration,0.533,0.561,"{'kernel_sizes': [33, 8], 'strides': [3, 1], 'k': 24, 'weight_decay': 0.01, 'nbConvLayers': 2}"
CricketX,0.31,0.559,"{'kernel_sizes': [30, 15], 'strides': [1, 6], 'k': 45, 'weight_decay': 0.01, 'nbConvLayers': 2}"
CricketY,0.082,0.082,"{'kernel_sizes': [30, 15], 'strides': [3, 3], 'k': 60, 'weight_decay': 0.01, 'nbConvLayers': 2}"
CricketZ,0.228,0.369,"{'kernel_sizes': [15, 15], 'strides': [3, 1], 'k': 60, 'weight_decay': 0.01, 'nbConvLayers': 2}"
ECG5000,0.873,0.882,"{'kernel_sizes': [28, 7], 'strides': [2, 1], 'k': 21, 'weight_decay': 0.01, 'nbConvLayers': 2}"
FaceAll,0.273,0.396,"{'kernel_sizes': [26, 6], 'strides': [1, 1], 'k': 26, 'weight_decay': 0.01, 'nbConvLayers': 2}"
FaceFour,0.716,1.0,"{'kernel_sizes': [70, 17], 'strides': [7, 1], 'k': 52, 'weight_decay': 0.01, 'nbConvLayers': 2}"
FacesUCR,0.267,0.4,"{'kernel_sizes': [26, 6], 'strides': [1, 1], 'k': 26, 'weight_decay': 0.01, 'nbConvLayers': 2}"
FISH,0.56,0.731,"{'kernel_sizes': [92, 23], 'strides': [4, 1], 'k': 92, 'weight_decay': 0.01, 'nbConvLayers': 2}"
Lighting7,0.452,0.686,"{'kernel_sizes': [31, 15], 'strides': [6, 1], 'k': 47, 'weight_decay': 0.01, 'nbConvLayers': 2}"
Symbols,0.174,0.32,"{'kernel_sizes': [39, 19], 'strides': [7, 7], 'k': 19, 'weight_decay': 0.01, 'nbConvLayers': 2}"
Trace,0.19,0.31,"{'kernel_sizes': [13, 13], 'strides': [1, 2], 'k': 41, 'weight_decay': 0.01, 'nbConvLayers': 2}"
